EventId,Station,SampleDate,SampleTime,Depth,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude
22887,TF5.6,1994-01-26,11:35:00,1,D,S1,CHLA,<,1,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
22286,TF5.6,1993-11-17,11:35:00,1,D,S1,CHLA,NA,12.1,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
22401,TF5.6,1993-12-02,11:25:00,1,D,S1,CHLA,NA,6,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
21355,TF5.6,1993-09-02,12:25:00,1,D,S1,CHLA,NA,15.9,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
21584,TF5.6,1993-09-20,11:55:00,1,D,S1,CHLA,NA,19.5,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
21850,TF5.6,1993-10-05,11:50:00,1,D,S1,CHLA,NA,20.5,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
23064,TF5.6,1994-02-17,12:30:00,1,D,S1,CHLA,NA,1.5,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
12798,TF5.6,1994-03-21,11:45:00,1,D,S1,CHLA,NA,1.2,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
13251,TF5.6,1994-04-14,12:10:00,1,D,S1,CHLA,NA,14.6,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
13708,TF5.6,1994-05-23,12:35:00,1,D,S1,CHLA,NA,22.8,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
13892,TF5.6,1994-06-09,12:20:00,1,D,S1,CHLA,NA,19.5,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
14317,TF5.6,1994-07-07,12:15:00,1,D,S1,CHLA,NA,36.6,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
14774,TF5.6,1994-08-11,12:30:00,1,D,S1,CHLA,NA,17,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
25778,TF5.6,1993-03-10,11:45:00,1,D,S1,CHLA,<,1,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
26084,TF5.6,1993-04-08,11:40:00,1,D,S1,CHLA,<,1,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
26411,TF5.6,1993-04-28,11:50:00,1,D,S1,CHLA,NA,6.9,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
26510,TF5.6,1993-05-06,11:15:00,1,D,S1,CHLA,NA,8.3,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
26854,TF5.6,1993-06-02,11:15:00,1,D,S1,CHLA,NA,5.6,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
26883,TF5.6,1993-06-07,11:40:00,1,D,S1,CHLA,NA,12.7,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
27152,TF5.6,1993-06-22,11:35:00,1,D,S1,CHLA,<,1,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
21217,TF5.6,1993-08-18,11:40:00,1,D,S1,CHLA,NA,32.4,UG/L,L01,VCU,NA,NA,NA,NA,37.27272,-76.99057
109215,LE5.1,1988-05-02,08:42:00,1,D,S1,CHLA,NA,14.73,UG/L,L01,VCU,NA,NA,NA,NA,37.20297,-76.64833
111934,LE5.1,2010-05-04,09:10:00,1,D,S1,CHLA,NA,6.59,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
113151,LE5.1,2010-08-03,09:30:00,1,D,S1,CHLA,NA,16.2,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
121666,LE5.1,1985-10-16,00:01:00,1,D,S1,CHLA,NA,5.46,UG/L,L01,VCU,NA,NA,NA,NA,37.20297,-76.64833
121826,LE5.1,1985-11-12,00:01:00,1,D,S1,CHLA,NA,3.1,UG/L,L01,VCU,NA,NA,NA,NA,37.20297,-76.64833
